OBJ1664	Espada de Grihilwen
OBJ1674	Pantalon Rojo
OBJ1675	Pantalon Azul
OBJ1676	Armadura Jefatura (Grihilwen)
OBJ1677	Armadura de Cronos (Bajos/Caótico)
OBJ1678	Túnica de Belial (Caótico)
OBJ1679	Túnica Nashal (Amarilla/Sagrada)
OBJ1680	Túnica Korar (Blanca/Sagrada)
OBJ1681	Armadura Mutaffat (Bajo/Sagrada)
OBJ1682	Armadura de Robin Hood (Altos/Sagrada)
OBJ1683	Armadura de Robin Hood (Bajos/Sagrada)
OBJ1684	Túnica de Maliante (Bajos)
OBJ1691	Armadura de Defensa Imperial de 1ª Jerarquía
OBJ1692	Armadura de Defensa Imperial de 1ª Jerarquía (Bajos)
OBJ1693	Armadura de Defensa Caótica de 1ª Jerarquía
OBJ1694	Armadura de Defensa Caótica de 1ª Jerarquía (Bajos)
OBJ1695	Armadura de Defensa Imperial de 2ª Jerarquía
OBJ1696	Armadura de Defensa Imperial de 2ª Jerarquía (Bajos)
OBJ1697	Armadura de Defensa Caótica de 2ª Jerarquía
OBJ1698	Armadura de Defensa Caótica de 2ª Jerarquía (Bajos)
OBJ1706	Pantalon Rojo (Bajos)
OBJ1707	Pantalon Azul (Bajos)
OBJ1722	Escudo de Plata (Durable) [src tiene los campos vacios: src_id=133]
OBJ1723	Armadura de Sacrilegio
OBJ1724	Armadura Colosal
OBJ1725	Espada de Arsenal
OBJ1726	Escudo Corazón
OBJ1727	Espada Oscura
OBJ1728	Escudo Hausdorff
OBJ1729	Armadura de Sacrilegio (Bajos)
OBJ1730	Yelmo (Durable) [src tiene los campos vacios: src_id=601]
OBJ1736	Vesimenta del Terror (Halloween)
OBJ1737	Vesimenta del Terror (Bajos) (Halloween)
OBJ1738	Bastón del Terror (Halloween)
OBJ1739	Gorro del Terror (Halloween)
OBJ1740	Antifaz del Terror (Halloween)
OBJ1741	Máscara del Terror (Halloween)
OBJ1770	Manto de Navidad (RM +5)
OBJ1771	Manto de Navidad (RM +5) (Bajos)
OBJ1798	Armadura Especial Dorada
OBJ1799	Armadura Especial Dorada (Bajos)
OBJ1800	Túnica Especial Dorada
OBJ1801	Túnica Especial Dorada (Bajos)
OBJ1802	Armadura Especial de Rubi
OBJ1803	Armadura Especial de Rubi (Bajos)
OBJ1804	Túnica Especial de Rubí
OBJ1805	Túnica Especial de Rubí (Bajos)
OBJ1806	Armadura Especial de Esmeraldas
OBJ1807	Armadura Especial de Esmeraldas (Bajos)
OBJ1808	Túnica Especial de Esmeraldas
OBJ1809	Túnica Especial de Esmeraldas (Bajos)
OBJ1810	Collar del Experto
OBJ1812	Pendiente del Juglar
OBJ1814	Túnica Apocalipsis
OBJ1815	Túnica Apocalipsis (Bajos)
OBJ1820	Pendiente del Booster
OBJ1852	Armadura Especial Oscura
OBJ1853	Armadura Especial Oscura (Bajos)
OBJ1854	Armadura Especial de Diamantes
OBJ1855	Armadura Especial de Diamantes (Bajos)
OBJ1856	Armadura Especial de Resistencia
OBJ1857	Armadura Especial de Resistencia (Bajos)
OBJ1858	Armadura Especial de Cazador
OBJ1859	Armadura Especial de Cazador (Bajos)
OBJ1860	Túnica Especial de Coraza
OBJ1861	Túnica Especial de Coraza (Bajos)
OBJ1862	Túnica Especial de Naturalis
OBJ1863	Túnica Especial de Naturalis (Bajos)
OBJ1864	Túnica Especial del Firmamento
OBJ1865	Túnica Especial de Firmamento (Bajos)
OBJ1866	Gorro Especial Gris
OBJ1867	Gorro de Hechicero Miliciano (RM +5)
OBJ1868	Escudo de Roble
OBJ1869	Escudo Magma (Guerreras)
OBJ1870	Espada de Guerra
OBJ1871	Báculo de Pragma
OBJ1872	Arco Demoniaco
OBJ1894	Armadura de Guerrero del Caos de 3ª Jerarquía (RM +5)
OBJ1895	Armadura de Guerrero del Caos de 3ª Jerarquía (Bajos) (RM +5)
OBJ1898	Túnica de Bardo del Caos de 3ª Jerarquía (RM +5)
OBJ1899	Túnica de Bardo del Caos de 3ª Jerarquía (Bajos) (RM +5)
OBJ1902	Armadura de Gladiador del Caos de 3ª Jerarquía (RM +5)
OBJ1903	Armadura de Gladiador del Caos de 3ª Jerarquía (Bajos) (RM +5)
OBJ1904	Armadura de Paladín del Caos de 3ª Jerarquía (RM +5)
OBJ1905	Armadura de Paladín del Caos de 3ª Jerarquía (Bajos) (RM +5)
OBJ1908	Armadura de Mercenario del Caos de 3ª Jerarquía (RM +5)
OBJ1909	Armadura de Mercenario del Caos de 3ª Jerarquía (Bajos) (RM +5)
OBJ1916	Armadura de Guerrero Imperial de 3ª Jerarquía (RM +5)
OBJ1917	Armadura de Guerrero Imperial de 3ª Jerarquía (Bajos) (RM +5)
OBJ1920	Túnica de Bardo Imperial de 3ª Jerarquía (RM +5)
